s,r,a,sp
37,-22,1,47
37,-22,1,47
2,-7,0,2
2,-7,2,52
7,-7,0,7
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-17,1,38
38,-17,1,48
38,53,1,48
3,-7,0,3
18,-7,1,18
18,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,-17,1,49
9,-7,0,9
18,-12,0,18
18,-12,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-17,1,39
39,-17,1,49
39,48,1,49
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,43,1,38
2,-7,0,2
2,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-22,1,38
38,-22,1,48
38,73,1,48
9,-7,0,9
18,-12,0,18
18,-12,2,52
1,-7,0,1
1,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
9,-7,0,9
18,-12,0,18
18,-12,2,52
8,-7,0,8
19,-12,1,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-22,1,39
39,-22,1,49
39,-22,1,49
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
37,-22,0,37
37,63,1,47
7,-7,0,7
18,-12,0,18
18,-12,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
2,-7,0,2
2,-7,2,52
4,-7,0,4
4,-7,2,52
4,-7,0,4
4,-7,2,52
4,-7,0,4
4,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
9,-7,0,9
18,-12,0,18
18,-12,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
39,-22,1,39
39,-22,1,49
39,-22,1,49
2,-7,0,2
2,-7,2,52
2,-7,0,2
2,12,2,52
3,-7,0,3
19,-12,1,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-17,1,38
38,-17,1,48
38,-17,1,48
9,-7,0,9
18,-12,0,18
18,-12,2,52
5,-7,0,5
5,-7,2,52
8,-7,0,8
18,-7,1,18
18,-7,2,52
4,-7,0,4
4,-7,2,52
0,-7,0,0
0,-7,2,52
4,-7,0,4
4,-7,2,52
4,-7,0,4
4,-7,2,52
9,-7,0,9
17,-12,0,17
17,-12,1,27
27,-17,0,27
27,-17,1,37
34,-22,0,34
34,-22,2,52
1,-7,0,1
1,-7,2,52
0,-7,0,0
0,-7,2,52
4,-7,0,4
4,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,88,1,48
9,-7,0,9
18,-12,0,18
18,-12,2,52
4,-7,0,4
4,-7,2,52
9,-7,0,9
19,-12,0,19
19,-12,1,29
28,-17,0,28
28,-17,1,38
38,-22,0,38
38,-22,1,48
38,-22,1,48
9,-7,0,9
18,-12,0,18
18,-12,2,52
9,-7,0,9
16,-12,0,16
16,-12,2,52
7,-7,0,7
19,-12,0,19
19,-12,1,29
29,-17,0,29
29,-17,1,39
38,-22,1,38
38,-22,1,48
38,68,1,48
2,-7,0,2
2,-7,2,52
4,-7,0,4
4,-7,2,52
9,-7,0,9
18,-12,0,18
18,-12,2,52
8,-7,0,8
18,-7,1,18
18,-7,2,52
9,-7,0,9
18,-12,0,18
